title,points,author,url,created_at
LinkedIn is searching your browser extensions,1666,digitalWestie,https://browsergate.eu/,2026-04-02 13:09:09+00:00
Google releases Gemma 4 open models,1365,jeffmcjunkin,https://deepmind.google/models/gemma/gemma-4/,2026-04-02 16:10:54+00:00
"Sweden goes back to basics, swapping screens for books in the classroom",810,novaRom,https://undark.org/2026/04/01/sweden-schools-books/,2026-04-02 10:50:00+00:00
Decisions that eroded trust in Azure – by a former Azure Core engineer,627,axelriet,https://isolveproblems.substack.com/p/how-microsoft-vaporized-a-trillion,2026-04-02 16:00:27+00:00
Qwen3.6-Plus: Towards real world agents,498,pretext,https://qwen.ai/blog?id=qwen3.6,2026-04-02 14:28:52+00:00
Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,496,AbuAssar,https://lemonade-server.ai,2026-04-02 11:04:51+00:00
Tailscale's new macOS home,423,tosh,https://tailscale.com/blog/macos-notch-escape,2026-04-02 18:22:03+00:00
Artemis computer running two instances of MS outlook; they can't figure out why,385,mooreds,https://bsky.app/profile/nikigrayson.com/post/3miik2wzosk25,2026-04-02 15:08:45+00:00
Cursor 3,375,adamfeldman,https://cursor.com/blog/cursor-3,2026-04-02 18:13:41+00:00
Inside Nepal's Fake Rescue Racket,278,lode,https://kathmandupost.com/money/2026/03/27/inside-nepal-s-fake-rescue-racket,2026-04-02 11:40:41+00:00
Good ideas do not need lots of lies in order to gain public acceptance (2008),232,sedev,https://blog.danieldavies.com/2004/05/d-squared-digest-one-minute-mba.html,2026-04-02 17:29:03+00:00
Artemis II's toilet is a moon mission milestone,219,1659447091,https://www.scientificamerican.com/article/artemis-iis-toilet-is-a-moon-mission-milestone/,2026-04-02 02:37:12+00:00
OpenAI Acquires TBPN,198,surprisetalk,https://openai.com/index/openai-acquires-tbpn/,2026-04-02 17:26:49+00:00
George Goble has died,141,finaard,https://www.legacy.com/us/obituaries/wlfi/name/george-goble-obituary?id=61144779,2026-04-02 18:21:08+00:00
C89cc.sh – standalone C89/ELF64 compiler in pure portable shell,105,gaigalas,https://gist.github.com/alganet/2b89c4368f8d23d033961d8a3deb5c19,2026-04-01 08:41:49+00:00
Significant progress made on Xbox 360 recompilation,103,tetrisgm,https://readonlymemo.com/rexglue-xbox-360-recompilation-interview/,2026-03-29 12:53:03+00:00
JSON Canvas Spec (2024),101,tobr,https://jsoncanvas.org/spec/1.0/,2026-03-30 09:38:38+00:00
Post Mortem: axios NPM supply chain compromise,85,Kyro38,https://github.com/axios/axios/issues/10636,2026-04-03 00:00:19+00:00
Show HN: Made a little Artemis II tracker,84,codingmoh,https://artemis-ii-tracker.com/,2026-04-02 23:16:05+00:00
Magic the Gathering Deck Shuffler,55,mooreds,https://mtg.jessitron.honeydemo.io/,2026-03-30 15:28:45+00:00
