post_id,title,category,score,num_comments,author,collected_at
47640728,Show HN: A game where you build a GPU,technology,740,157,Jaso1024,2026-04-05 15:10:46.945291
47645432,Introduction to Computer Music (2009) [pdf],technology,154,50,luu,2026-04-05 15:10:49.094684
47640875,"LLM Wiki – example of an ""idea file""",technology,188,56,tamnd,2026-04-05 15:10:52.892723
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,43,6,steeve,2026-04-05 15:10:55.239291
47613118,Show HN: I built a small app for FSI German Course,entertainment,30,10,syedmsawaid,2026-04-05 15:10:59.603849
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,66,27,waveywaves,2026-04-05 15:11:00.666018
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,99,10,kaipereira,2026-04-05 15:11:04.456129
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,158,78,jrandolf,2026-04-05 15:11:05.469161
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,78,12,laszlokorte,2026-04-05 15:11:15.017017
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,428,192,naves,2026-04-05 15:11:16.230585
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,154,6,teamchong,2026-04-05 15:11:18.591586
47637757,Embarrassingly simple self-distillation improves code generation,technology,592,178,Anon84,2026-04-05 15:11:19.629377
47606244,Training mRNA Language Models Across 25 Species for $165,technology,138,32,maziyar,2026-04-05 15:11:24.343215
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1048,795,firloop,2026-04-05 15:11:25.448371
47611993,VR Realizes the Cyberspace Metaphor,science,13,7,dryadin,2026-04-05 15:11:29.585088
47645468,Writing Lisp is AI resistant and I'm sad,technology,66,66,djha-skin,2026-04-05 15:11:33.856970
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,11,1,andsoitis,2026-04-05 15:11:36.504889
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,197,130,pseudolus,2026-04-05 15:11:38.656990
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,48,11,ingenika,2026-04-05 15:11:40.806477
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,394,245,eichin,2026-04-05 15:11:41.789938
47641615,Sopwith – 1984 Game (2000),sports,93,40,elvis70,2026-04-05 15:11:47.463309
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,22,8,1659447091,2026-04-05 15:11:50.776924
47616157,Software never had a soul,technology,17,14,firloop,2026-04-05 15:11:53.094696
47647038,An AI bot invited me to its party in Manchester. It was a pretty good night,technology,7,0,mellosouls,2026-04-05 15:11:55.348608
47625952,Show HN: I built a frontpage for personal blogs,entertainment,756,190,ramkarthikk,2026-04-05 15:12:04.771842
47621792,Post Mortem: axios NPM supply chain compromise,technology,278,131,JeanMeche,2026-04-05 15:12:10.514963
47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,166,144,lschueller,2026-04-05 15:12:12.582753
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,57,5,xbmcuser,2026-04-05 15:12:15.930897
47624645,Show HN: Apfel – The free AI already on your Mac,technology,717,146,franze,2026-04-05 15:12:17.946725
47633131,"Run Linux containers on Android, no root required",technology,212,82,politelemon,2026-04-05 15:12:21.563093
47645976,AI that copied musical artist files copyright claim against artist [updated],technology,57,14,josephcsible,2026-04-05 15:12:27.284185
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,394,147,denssumesh,2026-04-05 15:12:28.316976
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,533,180,detaro,2026-04-05 15:12:31.452301
47629485,A case study in testing with 100+ Claude agents in parallel,science,50,46,thejash,2026-04-05 15:12:32.591838
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",technology,16,12,bring-shrubbery,2026-04-05 15:12:33.746503
47622616,The Technocracy Movement of the 1930s,technology,166,135,lazydogbrownfox,2026-04-05 15:12:36.000976
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,60,angst,2026-04-05 15:12:40.409187
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,11,4,bookmtn,2026-04-05 15:13:07.097567
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,11,0,paberr,2026-04-05 15:13:09.199475
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,48,52,luca-ctx,2026-04-05 15:13:12.762932
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,586,207,pretext,2026-04-05 15:13:16.040430
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,186,70,MaximilianEmel,2026-04-05 15:13:24.538432
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,780,365,hkmaxpro,2026-04-05 15:13:32.629962
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,6,0,Jet_Xu,2026-04-05 15:13:54.133514
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05 15:13:56.611146
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 15:14:07.445554
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05 15:14:09.490340
47621438,Show HN: Made a little Artemis II tracker,entertainment,149,56,codingmoh,2026-04-05 15:14:13.623163
47604155,SpaceX files to go public,science,397,572,nutjob2,2026-04-05 15:14:27.721151
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,295,147,Growtika,2026-04-05 15:14:28.949753
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,897,432,novaRom,2026-04-05 15:14:48.404848
47631648,Automatic Textbook Formalization,entertainment,43,17,tzury,2026-04-05 15:14:53.422490
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,75,4,nemoniac,2026-04-05 15:14:54.960212
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05 15:15:04.873868
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05 15:15:10.644420
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05 15:15:22.919744
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05 15:16:00.640458
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 15:16:12.378692
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-05 15:16:24.460371
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05 15:17:55.272015
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,85,120,vrganj,2026-04-05 15:18:43.169884
47625860,Ubuntu now has higher system hardware requirements than Windows 11,worldnews,24,9,bundie,2026-04-05 15:18:56.831338
47642779,Big Banks Seeking a Piece of SpaceX's IPO Must Subscribe to Elon Musk's Grok,science,11,0,codydh,2026-04-05 15:19:13.915739
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05 15:19:30.726053
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,10,3,mempko,2026-04-05 15:19:38.464628
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 15:19:39.634681
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05 15:19:55.916726
47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",worldnews,7,1,nikisweeting,2026-04-05 15:20:14.861047
47641555,US deploying nearly all stealthy long-range JASSM-ER cruise missiles to Iran war,worldnews,61,81,prmph,2026-04-05 15:20:34.316837
47620867,Proton Workspace: An encrypted suite for team collaboration,sports,26,4,teekert,2026-04-05 15:20:39.641630
